physBall100,year,ball_100
Івано-Франківська область,2019,139.35195530726256
Волинська область,2019,140.06313645621182
Вінницька область,2019,134.9370709382151
Дніпропетровська область,2019,135.33218785796106
Донецька область,2019,132.1387614678899
Житомирська область,2019,130.97504159733776
Закарпатська область,2019,130.20882352941177
Запорізька область,2019,133.9121706398996
Київська область,2019,134.97441860465116
Кіровоградська область,2019,133.8969696969697
Луганська область,2019,130.22222222222223
Львівська область,2019,139.7006920415225
Миколаївська область,2019,132.6120527306968
Одеська область,2019,129.07576953433306
Полтавська область,2019,133.967845659164
Рівненська область,2019,135.51622874806802
Сумська область,2019,135.55009107468123
Тернопільська область,2019,135.69688385269123
Харківська область,2019,139.6262471220261
Херсонська область,2019,136.27882599580713
Хмельницька область,2019,135.43610223642173
Черкаська область,2019,139.6089108910891
Чернівецька область,2019,132.7566371681416
Чернігівська область,2019,136.47811993517018
м.Київ,2019,145.04988344988345
Івано-Франківська область,2020,139.83391003460207
Волинська область,2020,141.07079646017698
Вінницька область,2020,136.85843920145192
Дніпропетровська область,2020,137.28657921291625
Донецька область,2020,134.54759568204122
Житомирська область,2020,134.5957120980092
Закарпатська область,2020,133.57142857142858
Запорізька область,2020,133.52759381898454
Київська область,2020,135.58823529411765
Кіровоградська область,2020,138.3684210526316
Луганська область,2020,134.93290734824282
Львівська область,2020,141.45345104333867
Миколаївська область,2020,134.22690437601295
Одеська область,2020,131.31910112359552
Полтавська область,2020,138.4698972099853
Рівненська область,2020,140.4389574759945
Сумська область,2020,139.54954954954954
Тернопільська область,2020,137.35802469135803
Харківська область,2020,139.25320970042796
Херсонська область,2020,140.74723247232473
Хмельницька область,2020,139.33742331288343
Черкаська область,2020,137.870820668693
Чернівецька область,2020,138.25283018867924
Чернігівська область,2020,140.07072368421052
м.Київ,2020,146.4199420769549
